Id,Yield
1,1.739
2,1.8782
3,1.7537999999999996
4,1.5103
5,1.9525000000000001
6,2.0056
7,1.5983000000000003
8,1.9469999999999998
9,3.8988
10,4.0114
11,3.876400000000001
12,3.835900000000001
13,3.898100000000001
14,3.9071000000000007
15,3.9184000000000005
16,3.8386000000000005
17,3.8253
18,3.8549000000000007
19,4.0645999999999995
20,3.904000000000001
21,2.9240000000000004
22,3.8357
23,3.4912
24,3.923800000000001
25,3.7979
26,2.025
27,1.9486
28,2.1865
29,2.0460000000000003
30,2.1741
31,2.0892000000000004
32,2.0966
33,2.3801
34,2.1146000000000003
35,2.2300999999999997
36,1.9532
37,2.0343999999999998
38,1.8902
39,1.9864000000000002
40,2.2565999999999997
41,1.9867000000000001
42,1.9766
43,1.7642999999999998
44,1.5625
45,1.7643
46,1.8832
47,1.6682000000000001
48,1.6294
49,1.7698
50,1.8510999999999995
51,1.5304
